locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Xiphophorus_maculatus.X_maculatus.5.0.male.pep.all.vs.Indian.medaka.pep.all.txt.RBH,Oryzias_melastigma.Om_v0.7.RACA.pep.all.vs.Indian.medaka.pep.all.txt.RBH,Lepisosteus_oculatus.LepOcu1.pep.all.vs.Indian.medaka.pep.all.txt.RBH,Danio_rerio.GRCz11.pep.all.vs.Indian.medaka.pep.all.txt.RBH,geneID,diffexpressed,Entrenz_id,Species,gene_name,gene
FQA47_020187,106.9395778,-0.720491928,0.251618758,-2.863426933,0.004190855,0.193495566,ENSXMAG00000023876,ENSOMEG00000015768,ENSLOCG00000011399,ENSDARG00000024416,ENSOMEG00000015768,DOWN,112138451,Oryzias melastigma,RNA polymerase I subunit F(polr1f),polr1f
FQA47_015869,126.505091,-0.801656665,0.204285125,-3.92420479,8.70E-05,0.019214799,ENSXMAG00000018992,ENSOMEG00000010658,ENSLOCG00000000520,ENSDARG00000093532,ENSOMEG00000010658,DOWN,112139894,Oryzias melastigma,"NACHT, LRR and PYD domains-containing protein 12(LOC112139894)",LOC112139894
FQA47_006366,193.1869389,0.349605218,0.14735269,2.372574387,0.017664606,0.394178382,ENSXMAG00000005696,ENSOMEG00000013084,ENSLOCG00000009330,ENSDARG00000026137,ENSOMEG00000013084,UP,112153292,Oryzias melastigma,sideroflexin 5b(sfxn5b),sfxn5b
FQA47_014871,26.96542632,0.821177441,0.346234908,2.371734976,0.017704785,0.394381851,ENSXMAG00000023566,ENSOMEG00000014328,ENSLOCG00000013475,ENSDARG00000062421,ENSOMEG00000014328,UP,112151119,Oryzias melastigma,peroxisomal biogenesis factor 2(pex2),pex2
FQA47_017114,124.7239779,-0.515555384,0.261363755,-1.972558838,0.048545847,0.596695657,ENSXMAG00000002962,ENSOMEG00000017253,ENSLOCG00000008607,ENSDARG00000022438,ENSOMEG00000017253,DOWN,112148792,Oryzias melastigma,"cytochrome c oxidase subunit 6A, mitochondrial(LOC112148792)",LOC112148792
FQA47_015991,133.3760621,-0.434795676,0.177191612,-2.453816363,0.014134914,0.358583433,ENSXMAG00000013757,ENSOMEG00000008349,ENSLOCG00000009231,ENSDARG00000036645,ENSOMEG00000008349,DOWN,112159947,Oryzias melastigma,regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1(rcbtb1),rcbtb1
FQA47_019946,49.38639029,0.642196111,0.271032557,2.369442688,0.017814916,0.396140083,ENSXMAG00000019055,ENSOMEG00000005707,ENSLOCG00000006403,ENSDARG00000098235,ENSOMEG00000005707,UP,112159729,Oryzias melastigma,actin related protein 5(actr5),actr5
FQA47_014653,122.3776949,-0.590053888,0.275266027,-2.143576869,0.032066806,0.503618295,ENSXMAG00000008589,ENSOMEG00000016708,ENSLOCG00000004500,ENSDARG00000077396,ENSOMEG00000016708,DOWN,112149843,Oryzias melastigma,TLC domain containing 2(tlcd2),tlcd2
FQA47_016844,116.7714044,-0.470204483,0.237167517,-1.982583831,0.047413935,0.591370071,ENSXMAG00000003556,ENSOMEG00000001509,ENSLOCG00000002944,ENSDARG00000058041,ENSOMEG00000001509,DOWN,112163182,Oryzias melastigma,NADH:ubiquinone oxidoreductase subunit A8(ndufa8),ndufa8
FQA47_022228,127.1894053,-0.661684321,0.233208525,-2.8373076,0.004549576,0.203261514,ENSXMAG00000010734,ENSOMEG00000015699,ENSLOCG00000010615,ENSDARG00000022599,ENSOMEG00000015699,DOWN,112156784,Oryzias melastigma,aspartyl aminopeptidase(dnpep),dnpep
FQA47_009079,1821.48173,0.218755934,0.092396707,2.367572843,0.017905195,0.396757872,ENSXMAG00000001862,ENSOMEG00000001643,ENSLOCG00000010106,ENSDARG00000032175,ENSOMEG00000001643,UP,112151093,Oryzias melastigma,poly(U)-binding-splicing factor PUF60(LOC112151093),LOC112151093
FQA47_005725,139.7815202,-0.673702179,0.253800348,-2.654457269,0.00794361,0.272226764,ENSXMAG00000022200,ENSOMEG00000011962,ENSLOCG00000004729,ENSDARG00000018846,ENSOMEG00000011962,DOWN,112142623,Oryzias melastigma,diacylglycerol O-acyltransferase 2(dgat2),dgat2
FQA47_013079,144.4152629,-0.429387566,0.205024126,-2.094327014,0.036230859,0.531928142,ENSXMAG00000025228,ENSOMEG00000017497,ENSLOCG00000001858,ENSDARG00000041113,ENSOMEG00000017497,DOWN,112137043,Oryzias melastigma,WD repeat domain 18(wdr18),wdr18
FQA47_015783,131.7891993,-0.487613571,0.185019375,-2.635473022,0.00840201,0.279267871,ENSXMAG00000005285,ENSOMEG00000021719,ENSLOCG00000007957,ENSDARG00000018190,ENSOMEG00000021719,DOWN,112139384,Oryzias melastigma,"guided entry of tail-anchored proteins factor 3, ATPase(get3)",get3
FQA47_009876,149.6248363,-0.399492015,0.18178237,-2.197638941,0.027974846,0.477735869,ENSXMAG00000016958,ENSOMEG00000011474,ENSLOCG00000014048,ENSDARG00000034600,ENSOMEG00000011474,DOWN,112136975,Oryzias melastigma,transmembrane protein 165(tmem165),tmem165
FQA47_006670,113.3598557,-0.785731311,0.292346122,-2.687674818,0.007195143,0.258826677,ENSXMAG00000015594,ENSOMEG00000006127,ENSLOCG00000011703,ENSDARG00000057075,ENSOMEG00000006127,DOWN,112144941,Oryzias melastigma,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3(lamtor3)",lamtor3
FQA47_013876,117.9164203,-0.497661356,0.232166452,-2.143554127,0.03206863,0.503618295,ENSXMAG00000014559,ENSOMEG00000011948,ENSLOCG00000012001,ENSDARG00000043242,ENSOMEG00000011948,DOWN,112141952,Oryzias melastigma,"keratin, type II cytoskeletal 8(si:dkey-222f2.1)",si:dkey-222f2.1
FQA47_018615,79.60130962,0.583415658,0.246592119,2.365913639,0.017985639,0.397447768,ENSXMAG00000002996,ENSOMEG00000017127,ENSLOCG00000009873,ENSDARG00000052045,ENSOMEG00000017127,UP,112148895,Oryzias melastigma,gamma-glutamyltransferase 5a(ggt5a),ggt5a
FQA47_003548,149.1965677,-0.447361419,0.22117619,-2.022647284,0.043109526,0.568097193,ENSXMAG00000022134,ENSOMEG00000000623,ENSLOCG00000011844,ENSDARG00000012072,ENSOMEG00000000623,DOWN,112148602,Oryzias melastigma,distal membrane arm assembly component 2 like(dmac2l),dmac2l
FQA47_003300,116.1282841,-0.79554068,0.229426155,-3.467523923,0.000525277,0.059794058,ENSXMAG00000017141,ENSOMEG00000004731,ENSLOCG00000003280,ENSDARG00000014165,ENSOMEG00000004731,DOWN,112149876,Oryzias melastigma,"signal sequence receptor, gamma(ssr3)",ssr3
FQA47_016748,1214.892712,0.215218381,0.0909924,2.365234701,0.018018648,0.397447768,ENSXMAG00000001714,ENSOMEG00000023491,ENSLOCG00000002828,ENSDARG00000098967,ENSOMEG00000023491,UP,112162889,Oryzias melastigma,rab GTPase-activating protein 1(LOC112162889),LOC112162889
FQA47_020870,144.1318961,-0.907870635,0.239155724,-3.796148463,0.000146962,0.026848493,ENSXMAG00000014649,ENSOMEG00000013672,ENSLOCG00000008482,ENSDARG00000018903,ENSOMEG00000013672,DOWN,112146896,Oryzias melastigma,aminoacyl tRNA synthetase complex interacting multifunctional protein 2(aimp2),aimp2
FQA47_019887,115.8550725,-0.63740298,0.25458619,-2.503682464,0.012290829,0.332270346,ENSXMAG00000001508,ENSOMEG00000014034,ENSLOCG00000011403,ENSDARG00000069313,ENSOMEG00000014034,DOWN,112155843,Oryzias melastigma,OXA1L mitochondrial inner membrane protein(oxa1l),oxa1l
FQA47_024586,107.9579302,-1.255413099,0.462693041,-2.713274217,0.006662195,0.247913304,ENSXMAG00000014862,ENSOMEG00000012081,ENSLOCG00000007449,ENSDARG00000030687,ENSOMEG00000012081,DOWN,112160584,Oryzias melastigma,"phosphorylase kinase, alpha 2 (liver)(phka2)",phka2
FQA47_004883,129.4536832,-0.569335593,0.284257166,-2.002889151,0.045189188,0.581029993,ENSXMAG00000010439,ENSOMEG00000019304,ENSLOCG00000003668,ENSDARG00000076830,ENSOMEG00000019304,DOWN,112143819,Oryzias melastigma,IgGFc-binding protein(LOC112143819),LOC112143819
FQA47_004313,133.0320032,-0.772286235,0.275540995,-2.802799765,0.005066111,0.21338997,ENSXMAG00000001553,ENSOMEG00000018307,ENSLOCG00000014938,ENSDARG00000030176,ENSOMEG00000018307,DOWN,112156025,Oryzias melastigma,uncharacterized LOC112156025(zgc:92429),zgc:92429
FQA47_012431,144.4824309,-0.793669656,0.262942871,-3.018411009,0.00254104,0.144679764,ENSXMAG00000010255,ENSOMEG00000006090,ENSLOCG00000012682,ENSDARG00000060036,ENSOMEG00000006090,DOWN,112157168,Oryzias melastigma,aminoacyl tRNA synthetase complex interacting multifunctional protein 1a(aimp1a),aimp1a
FQA47_012526,143.9961006,-0.466418441,0.19610642,-2.378394551,0.017388209,0.391103801,ENSXMAG00000024193,ENSOMEG00000001438,ENSLOCG00000016448,ENSDARG00000038000,ENSOMEG00000001438,DOWN,112162225,Oryzias melastigma,cardiolipin synthase 1(crls1),crls1
FQA47_002803,109.9067281,-1.093129507,0.376913837,-2.900210604,0.00372912,0.184235946,ENSXMAG00000018785,ENSOMEG00000003146,ENSLOCG00000015883,ENSDARG00000069018,ENSOMEG00000003146,DOWN,112144311,Oryzias melastigma,cytochrome P450 7A1(LOC112144311),LOC112144311
FQA47_015752,124.5349006,-0.921269548,0.258423619,-3.564958771,0.000363913,0.046909729,ENSXMAG00000025062,ENSOMEG00000005412,ENSLOCG00000002770,ENSDARG00000061256,ENSOMEG00000005412,DOWN,112137163,Oryzias melastigma,MAPK regulated corepressor interacting protein 2(mcrip2),mcrip2
FQA47_019843,162.6385126,-0.4474845,0.205071774,-2.182087238,0.029103095,0.486093021,ENSXMAG00000015201,ENSOMEG00000001199,ENSLOCG00000008096,ENSDARG00000002947,ENSOMEG00000001199,DOWN,112151448,Oryzias melastigma,"ATP-binding cassette, sub-family D (ALD), member 3a(abcd3a)",abcd3a
FQA47_009390,769.0386532,0.258361297,0.109307721,2.363614353,0.01809764,0.397897387,ENSXMAG00000016766,ENSOMEG00000023673,ENSLOCG00000002341,ENSDARG00000105214,ENSOMEG00000023673,UP,112148112,Oryzias melastigma,ATP/GTP binding carboxypeptidase 1(agtpbp1),agtpbp1
FQA47_010238,74.11537201,0.616147213,0.260972257,2.360968249,0.018227291,0.399709698,ENSXMAG00000023857,ENSOMEG00000014121,ENSLOCG00000006454,ENSDARG00000063145,ENSOMEG00000014121,UP,112162348,Oryzias melastigma,"transcription factor A, mitochondrial(tfam)",tfam
FQA47_003278,138.6705052,-0.575839555,0.247349491,-2.328040181,0.01990997,0.4155939,ENSXMAG00000023145,ENSOMEG00000004705,ENSLOCG00000015078,ENSDARG00000038156,ENSOMEG00000004705,DOWN,112162927,Oryzias melastigma,dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)(dusp11),dusp11
FQA47_025549,133.1679834,-0.622073548,0.181614956,-3.425233036,0.000614272,0.064694515,ENSXMAG00000005055,ENSOMEG00000019181,ENSLOCG00000016147,ENSDARG00000005897,ENSOMEG00000019181,DOWN,112158730,Oryzias melastigma,deoxyribose-phosphate aldolase (putative)(dera),dera
FQA47_000364,79.96415395,0.751815073,0.318486084,2.360590022,0.018245889,0.399772315,ENSXMAG00000011780,ENSOMEG00000013946,ENSLOCG00000007063,ENSDARG00000020924,ENSOMEG00000013946,UP,112154980,Oryzias melastigma,myosin IB(myo1b),myo1b
FQA47_014608,170.0423075,-0.677456721,0.281902543,-2.403159308,0.016254105,0.383246738,ENSXMAG00000002599,ENSOMEG00000018323,ENSLOCG00000014175,ENSDARG00000043483,ENSOMEG00000018323,DOWN,112149430,Oryzias melastigma,homeobox protein otx5(LOC112149430),LOC112149430
FQA47_021016,353.5206756,0.373471109,0.158488979,2.356448453,0.018450628,0.402203274,ENSXMAG00000000326,ENSOMEG00000022818,ENSLOCG00000010263,ENSDARG00000003869,ENSOMEG00000022818,UP,112139359,Oryzias melastigma,"2,4-dienoyl CoA reductase 1, mitochondrial(decr1)",decr1
FQA47_017088,205.0885609,-0.925747669,0.41482181,-2.231675498,0.025636418,0.460189476,ENSXMAG00000029160,ENSOMEG00000007215,ENSLOCG00000012892,ENSDARG00000053323,ENSOMEG00000007215,DOWN,112153994,Oryzias melastigma,uncharacterized LOC112153994(zgc:112285),zgc:112285
FQA47_023901,118.3775736,-0.588343918,0.287854682,-2.043892124,0.040964205,0.554614519,ENSXMAG00000005949,ENSOMEG00000010869,ENSLOCG00000004026,ENSDARG00000011841,ENSOMEG00000010869,DOWN,112142642,Oryzias melastigma,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g(atp5l)",atp5l
FQA47_020169,163.5792694,-0.442319382,0.174445684,-2.535570798,0.011226423,0.321411786,ENSXMAG00000007573,ENSOMEG00000013657,ENSLOCG00000010372,ENSDARG00000061204,ENSOMEG00000013657,DOWN,112159606,Oryzias melastigma,DEAD (Asp-Glu-Ala-Asp) box polypeptide 20(ddx20),ddx20
FQA47_008978,164.4000396,-0.56180681,0.178377181,-3.149544162,0.001635254,0.112231454,ENSXMAG00000000111,ENSOMEG00000021617,ENSLOCG00000016659,ENSDARG00000070723,ENSOMEG00000021617,DOWN,112151701,Oryzias melastigma,NADH:ubiquinone oxidoreductase subunit A9a(ndufa9a),ndufa9a
FQA47_015570,163.5696757,-0.489510577,0.244147062,-2.004982459,0.044964922,0.580101067,ENSXMAG00000009538,ENSOMEG00000014059,ENSLOCG00000010177,ENSDARG00000016963,ENSOMEG00000014059,DOWN,112159332,Oryzias melastigma,monocarboxylate transporter 1(LOC112159332),LOC112159332
FQA47_017252,61.66609531,0.600707374,0.254923358,2.356423434,0.018451871,0.402203274,ENSXMAG00000027497,ENSOMEG00000017437,ENSLOCG00000003255,ENSDARG00000037199,ENSOMEG00000017437,UP,112155006,Oryzias melastigma,linkage group 21 C2orf76 homolog(lg21h2orf76),lg21h2orf76
FQA47_006085,195.9805452,-0.541156672,0.267669372,-2.021735501,0.043203684,0.568453034,ENSXMAG00000013170,ENSOMEG00000017616,ENSLOCG00000000650,ENSDARG00000055752,ENSOMEG00000017616,DOWN,112153727,Oryzias melastigma,neuronal PAS domain protein 4a(npas4a),npas4a
FQA47_019745,137.7379728,-0.830343683,0.366285381,-2.266930997,0.023394441,0.442936767,ENSXMAG00000029326,ENSOMEG00000002870,ENSLOCG00000012091,ENSDARG00000099959,ENSOMEG00000002870,DOWN,112146862,Oryzias melastigma,"myosin heavy chain, fast skeletal muscle(LOC112146862)",LOC112146862
FQA47_001383,168.7314058,-0.444908933,0.186730124,-2.382630734,0.017189427,0.388698411,ENSXMAG00000011390,ENSOMEG00000003469,ENSLOCG00000010180,ENSDARG00000010021,ENSOMEG00000003469,DOWN,112156466,Oryzias melastigma,"GrpE-like 1, mitochondrial(grpel1)",grpel1
FQA47_017252,61.66609531,0.600707374,0.254923358,2.356423434,0.018451871,0.402203274,ENSXMAG00000027497,ENSOMEG00000017437,ENSLOCG00000003255,ENSDARG00000037199,ENSOMEG00000017437,UP,112155009,Oryzias melastigma,"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)(dbi)",dbi
FQA47_024343,206.2007146,0.378604823,0.160781858,2.354773277,0.01853401,0.40330133,ENSXMAG00000009878,ENSOMEG00000001992,ENSLOCG00000010274,ENSDARG00000062864,ENSOMEG00000001992,UP,112160071,Oryzias melastigma,glycerol kinase(gk),gk
FQA47_019183,141.8153299,-0.455049455,0.214320585,-2.123218612,0.033735537,0.515271042,ENSXMAG00000023922,ENSOMEG00000003633,ENSLOCG00000007724,ENSDARG00000075296,ENSOMEG00000003633,DOWN,112145562,Oryzias melastigma,family with sequence similarity 83 member C(fam83c),fam83c
FQA47_024302,149.6072034,-0.60169663,0.226761829,-2.653429957,0.007967831,0.272688799,ENSXMAG00000025076,ENSOMEG00000022579,ENSLOCG00000014828,ENSDARG00000041080,ENSOMEG00000022579,DOWN,112149751,Oryzias melastigma,THAP domain-containing protein 5(LOC112149751),LOC112149751
FQA47_002594,1082.527825,0.249278368,0.105921216,2.353431885,0.018601015,0.403538655,ENSXMAG00000004004,ENSOMEG00000006711,ENSLOCG00000016894,ENSDARG00000094590,ENSOMEG00000006711,UP,112152133,Oryzias melastigma,C2 calcium dependent domain containing 5(c2cd5),c2cd5
FQA47_002374,168.0216419,-0.466585583,0.165034055,-2.827207897,0.004695583,0.206654491,ENSXMAG00000006434,ENSOMEG00000023212,ENSLOCG00000015705,ENSDARG00000043842,ENSOMEG00000023212,DOWN,112157974,Oryzias melastigma,linkage group 24 C1orf198 homolog(lg24h1orf198),lg24h1orf198
FQA47_015536,168.3104152,-0.541435762,0.186094516,-2.909466512,0.003620462,0.180624764,ENSXMAG00000015320,ENSOMEG00000020862,ENSLOCG00000015574,ENSDARG00000045543,ENSOMEG00000020862,DOWN,112157089,Oryzias melastigma,ATPase H+ transporting V1 subunit F(atp6v1f),atp6v1f
FQA47_003314,139.93442,-0.643557909,0.244030901,-2.637198428,0.008359392,0.27894664,ENSXMAG00000006678,ENSOMEG00000004600,ENSLOCG00000005630,ENSDARG00000035507,ENSOMEG00000004600,DOWN,112148931,Oryzias melastigma,DEAD (Asp-Glu-Ala-Asp) box polypeptide 31(ddx31),ddx31
FQA47_020403,2236.102664,0.209498712,0.089182719,2.349095369,0.018819086,0.404307842,ENSXMAG00000007168,ENSOMEG00000021943,ENSLOCG00000003745,ENSDARG00000029248,ENSOMEG00000021943,UP,112152151,Oryzias melastigma,far upstream element (FUSE) binding protein 1(fubp1),fubp1
FQA47_003252,158.6632546,-0.577169567,0.196467967,-2.93772861,0.003306263,0.170996425,ENSXMAG00000019104,ENSOMEG00000018289,ENSLOCG00000010680,ENSDARG00000063194,ENSOMEG00000018289,DOWN,112162724,Oryzias melastigma,lin-54 DREAM MuvB core complex component(lin54),lin54
FQA47_013049,195.8234723,-0.357855195,0.171466804,-2.087023186,0.036886039,0.536583535,ENSXMAG00000018033,ENSOMEG00000017795,ENSLOCG00000006031,ENSDARG00000015385,ENSOMEG00000017795,DOWN,112140299,Oryzias melastigma,NADH:ubiquinone oxidoreductase core subunit S3(ndufs3),ndufs3
FQA47_023100,156.7223247,-0.406942728,0.171805558,-2.368623774,0.017854405,0.396324095,ENSXMAG00000029198,ENSOMEG00000006478,ENSLOCG00000013147,ENSDARG00000034309,ENSOMEG00000006478,DOWN,112154035,Oryzias melastigma,"protoheme IX farnesyltransferase, mitochondrial(LOC112154035)",LOC112154035
FQA47_012058,156.5161568,-0.47128996,0.230676857,-2.043074305,0.041045083,0.554812035,ENSXMAG00000029910,ENSOMEG00000019463,ENSLOCG00000008927,ENSDARG00000099389,ENSOMEG00000019463,DOWN,112148910,Oryzias melastigma,"cysteine dioxygenase, type I(cdo1)",cdo1
FQA47_004331,472.5726985,0.497749745,0.212703604,2.340109591,0.019278082,0.410006379,ENSXMAG00000001729,ENSOMEG00000015348,ENSLOCG00000013366,ENSDARG00000013526,ENSOMEG00000015348,UP,112155708,Oryzias melastigma,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1(svep1)",svep1
FQA47_010038,148.7819959,-1.156991922,0.294584319,-3.927540763,8.58E-05,0.019214799,ENSXMAG00000002603,ENSOMEG00000003067,ENSLOCG00000002281,ENSDARG00000070844,ENSOMEG00000003067,DOWN,112150104,Oryzias melastigma,guanidinoacetate N-methyltransferase(gamt),gamt
FQA47_003807,177.102909,-0.401780957,0.172024095,-2.335608603,0.01951165,0.411869356,ENSXMAG00000016354,ENSOMEG00000018138,ENSLOCG00000000997,ENSDARG00000102365,ENSOMEG00000018138,DOWN,112162728,Oryzias melastigma,elongin A(eloa),eloa
FQA47_001876,167.4033918,-1.124640556,0.426960914,-2.634059746,0.008437064,0.279700788,ENSXMAG00000017795,ENSOMEG00000011925,ENSLOCG00000007087,ENSDARG00000060350,ENSOMEG00000011925,DOWN,112147852,Oryzias melastigma,"apolipoprotein Da, duplicate 2(apoda.2)",apoda.2
FQA47_002643,144.1891394,0.506173882,0.216431187,2.338728948,0.019349466,0.410493183,ENSXMAG00000022781,ENSOMEG00000007104,ENSLOCG00000015548,ENSDARG00000043301,ENSOMEG00000007104,UP,112152711,Oryzias melastigma,"general transcription factor IIIC, polypeptide 6, alpha(gtf3c6)",gtf3c6
FQA47_019766,1146.898288,0.706203281,0.302194625,2.336915426,0.019443582,0.411801771,ENSXMAG00000019896,ENSOMEG00000014339,ENSLOCG00000002331,ENSDARG00000033126,ENSOMEG00000014339,UP,112158074,Oryzias melastigma,PRKR interacting protein 1(prkrip1),prkrip1
FQA47_007035,297.4882458,0.505958215,0.216794245,2.333817558,0.019605277,0.413158842,ENSXMAG00000001754,ENSOMEG00000002355,ENSLOCG00000007424,ENSDARG00000078853,ENSOMEG00000002355,UP,112151574,Oryzias melastigma,Rho guanine nucleotide exchange factor (GEF) 19(arhgef19),arhgef19
FQA47_015035,140.9009756,1.067175091,0.457840349,2.330889127,0.019759207,0.414758074,ENSXMAG00000014013,ENSOMEG00000006304,ENSLOCG00000014734,ENSDARG00000019949,ENSOMEG00000006304,UP,112149855,Oryzias melastigma,"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1b(serpinh1b)",serpinh1b
FQA47_003066,144.2445331,-0.559376448,0.271925477,-2.057094663,0.039677121,0.547289957,ENSXMAG00000004091,ENSOMEG00000016748,ENSLOCG00000004677,ENSDARG00000020197,ENSOMEG00000016748,DOWN,112144229,Oryzias melastigma,ribosomal protein L5a(rpl5a),rpl5a
FQA47_009978,6.773082996,1.712779923,0.73500047,2.33031133,0.019789702,0.414798401,ENSXMAG00000019449,ENSOMEG00000008942,ENSLOCG00000017757,ENSDARG00000053953,ENSOMEG00000008942,UP,112146640,Oryzias melastigma,myeloid-associated differentiation marker-like protein 2(LOC112146640),LOC112146640
FQA47_016563,157.7223218,-0.628630496,0.257810804,-2.438340389,0.014754873,0.365345838,ENSXMAG00000012049,ENSOMEG00000006390,ENSLOCG00000007304,ENSDARG00000010244,ENSOMEG00000006390,DOWN,112152501,Oryzias melastigma,ribosomal protein L22-like 1(rpl22l1),rpl22l1
FQA47_018338,173.9620848,-0.653109652,0.25286245,-2.582865317,0.009798357,0.302689913,ENSXMAG00000020294,ENSOMEG00000014420,ENSLOCG00000001501,ENSDARG00000003846,ENSOMEG00000014420,DOWN,112138134,Oryzias melastigma,mitochondrial ribosomal protein L21(mrpl21),mrpl21
FQA47_021974,175.6552987,-0.67536984,0.22909294,-2.948016821,0.003198197,0.167680727,ENSXMAG00000022830,ENSOMEG00000016754,ENSLOCG00000001335,ENSDARG00000003564,ENSOMEG00000016754,DOWN,112136891,Oryzias melastigma,deoxyhypusine hydroxylase/monooxygenase(dohh),dohh
FQA47_018421,926.6902545,0.424860237,0.182330518,2.330165244,0.019797419,0.414798401,ENSXMAG00000025801,ENSOMEG00000009902,ENSLOCG00000011209,ENSDARG00000036584,ENSOMEG00000009902,UP,112163064,Oryzias melastigma,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5(st8sia5)",st8sia5
FQA47_004277,191.8234126,-0.464663875,0.194889587,-2.384241675,0.017114359,0.388083407,ENSXMAG00000001909,ENSOMEG00000016642,ENSLOCG00000012768,ENSDARG00000062752,ENSOMEG00000016642,DOWN,112156134,Oryzias melastigma,microfibril associated protein 3 like(mfap3l),mfap3l
FQA47_009074,42.25480706,0.697943533,0.29992254,2.327079294,0.019961045,0.415853022,ENSXMAG00000001782,ENSOMEG00000001260,ENSLOCG00000012008,ENSDARG00000105010,ENSOMEG00000001260,UP,112151575,Oryzias melastigma,leucine zipper transcription factor-like 1(lztfl1),lztfl1
FQA47_021105,804.5536974,0.222947472,0.095939883,2.323824731,0.02013489,0.418089937,ENSXMAG00000012001,ENSOMEG00000000222,ENSLOCG00000004908,ENSDARG00000075509,ENSOMEG00000000222,UP,112142080,Oryzias melastigma,PHD finger protein 12(LOC112142080),LOC112142080
FQA47_009332,128.744502,-0.957498343,0.331113313,-2.891754287,0.003830974,0.187084158,ENSXMAG00000017900,ENSOMEG00000001884,ENSLOCG00000008019,ENSDARG00000036481,ENSOMEG00000001884,DOWN,112148450,Oryzias melastigma,transcobalamin II(tcn2),tcn2
FQA47_021861,146.4652471,-0.637854898,0.315827573,-2.019630177,0.043421763,0.570435715,ENSXMAG00000016616,ENSOMEG00000006246,ENSLOCG00000000700,ENSDARG00000031511,ENSOMEG00000006246,DOWN,112163357,Oryzias melastigma,proteasome 20S subunit beta 2(psmb2),psmb2
FQA47_004908,180.8007273,-0.587842755,0.176003091,-3.339956987,0.000837914,0.078227866,ENSXMAG00000014438,ENSOMEG00000003748,ENSLOCG00000005721,ENSDARG00000074807,ENSOMEG00000003748,DOWN,112144025,Oryzias melastigma,transforming growth factor beta regulator 4(tbrg4),tbrg4
FQA47_005002,144.1262748,-0.471318401,0.231811102,-2.033200298,0.042032291,0.56177263,ENSXMAG00000021102,ENSOMEG00000006726,ENSLOCG00000007578,ENSDARG00000078387,ENSOMEG00000006726,DOWN,112143942,Oryzias melastigma,uncharacterized si:dkey-92i15.4(si:dkey-92i15.4),si:dkey-92i15.4
FQA47_024291,176.0188694,-0.506462975,0.189169059,-2.677303455,0.007421738,0.262489723,ENSXMAG00000006065,ENSOMEG00000022747,ENSLOCG00000004073,ENSDARG00000027803,ENSOMEG00000022747,DOWN,112149768,Oryzias melastigma,SBDS ribosome maturation factor(sbds),sbds
FQA47_012031,208.2424278,0.424717022,0.183319584,2.316812057,0.020513972,0.421807129,ENSXMAG00000014540,ENSOMEG00000017566,ENSLOCG00000015620,ENSDARG00000003749,ENSOMEG00000017566,UP,112148076,Oryzias melastigma,"polymerase (DNA directed), beta(polb)",polb
FQA47_011225,44.24761977,0.657775708,0.284179622,2.314647701,0.02063222,0.422868924,ENSXMAG00000002022,ENSOMEG00000012152,ENSLOCG00000007507,ENSDARG00000020191,ENSOMEG00000012152,UP,112160582,Oryzias melastigma,"protein phosphatase, EF-hand calcium binding domain 1(ppef1)",ppef1
FQA47_015464,176.2452768,-0.465080265,0.21492027,-2.163966505,0.03046692,0.493346142,ENSXMAG00000028306,ENSOMEG00000021092,ENSLOCG00000015773,ENSDARG00000045557,ENSOMEG00000021092,DOWN,112154192,Oryzias melastigma,suppressor of cytokine signaling 2(socs2),socs2
FQA47_005151,260.2254596,0.341975514,0.147870571,2.312667841,0.020740908,0.423802753,ENSXMAG00000016550,ENSOMEG00000016858,ENSLOCG00000001953,ENSDARG00000074560,ENSOMEG00000016858,UP,112160794,Oryzias melastigma,carbohydrate sulfotransferase 8(LOC112160794),LOC112160794
FQA47_010064,412.7952807,0.281057982,0.121584666,2.311623584,0.020798436,0.424562283,ENSXMAG00000002206,ENSOMEG00000007789,ENSLOCG00000006773,ENSDARG00000075034,ENSOMEG00000007789,UP,112150102,Oryzias melastigma,"ribonucleoprotein, PTB-binding 2(raver2)",raver2
FQA47_008240,201.6814922,-0.311084817,0.151310242,-2.055940254,0.039788275,0.5482276,ENSXMAG00000016348,ENSOMEG00000013016,ENSLOCG00000002165,ENSDARG00000035913,ENSOMEG00000013016,DOWN,112136267,Oryzias melastigma,tyrosyl-tRNA synthetase 1(yars1),yars1
FQA47_025351,239.750594,0.314014019,0.136016474,2.308646963,0.02096318,0.426271625,ENSXMAG00000017374,ENSOMEG00000000775,ENSLOCG00000015093,ENSDARG00000017931,ENSOMEG00000000775,UP,112153689,Oryzias melastigma,integrator complex subunit 6 like(ints6l),ints6l
